fra;strate2;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
FR;0;2020-11-18;4.14959428962186;20.6049333684671;3.34500509163414;53.0820273472419;7.59591802100261
FR;0;2020-11-19;4.1421443896405;19.591746971001;3.12448805218566;52.0733108897647;7.39626070150195
FR;0;2020-11-20;4.05870550984918;18.4623421338257;2.8741714128117;51.1405834120974;7.26514246182988
FR;0;2020-11-21;3.97973657004668;17.4610755763299;2.72666339318061;48.9786224375045;7.0103558824671
FR;0;2020-11-22;3.92311733018828;16.7488651381111;2.58213533354208;48.8102546979256;6.94926670261988
FR;0;2020-11-23;3.91268747021437;15.7535585006004;2.44654715388119;50.1169671546575;7.0163158024522
FR;0;2020-11-24;3.96036683009512;15.0547578823481;2.31393893421284;48.524178538641;6.71235988321239
FR;0;2020-11-25;3.87990791029635;14.4215163839318;2.19921047449977;47.1429670820954;6.46204324383843
FR;0;2020-11-26;3.80093897049385;13.7599652655863;2.0680922348277;46.0642215647934;6.22513642443093
FR;0;2020-11-27;3.71601011070626;13.2861516267713;1.99061327502148;45.1106343671783;6.05527870485575
FR;0;2020-11-28;3.71005019072117;12.9762357875464;1.90419443523761;43.3867275114898;5.80943200547061
FR;0;2020-11-29;3.61469147095966;12.837667647893;1.8654549553345;43.3584178915606;5.77814242554887
FR;0;2020-11-30;3.52678265117952;12.5962908884967;1.76860625557672;44.5846714284937;5.84817148537372
FR;0;2020-12-01;3.3867245315298;12.2997848692382;1.72241687569224;43.5014559712029;5.62616446592896
FR;0;2020-12-02;3.32712533167886;12.1433369696295;1.69112729577049;42.5329689736251;5.42799712642458
FR;0;2020-12-03;3.23623655190617;12.1582367695923;1.65238781586738;41.9980661549628;5.27303920681213
FR;0;2020-12-04;3.21090689196952;12.1835664295289;1.60768841597917;41.4527334763267;5.13298108716241
FR;0;2020-12-05;3.14683775212976;12.1925063095065;1.60768841597917;40.1937003794756;4.94822356762449
FR;0;2020-12-06;3.11852813220056;12.2491255493649;1.59576857600898;40.4052775389464;4.92289390768784
FR;0;2020-12-07;3.09766841225273;12.1612167295848;1.60321847599035;41.6509008158311;5.05103218736737
