reg;jour;tx_indic_7J_DC;tx_indic_7J_hosp;tx_indic_7J_SC;tx_prev_hosp;tx_prev_SC
52;2020-05-06;1.05213403030199;2.68294177727007;0.394550261363245;15.5978869992269;1.60450439621053
52;2020-05-07;0.999527328786887;2.41990826969457;0.315640209090596;15.1507300363486;1.47298764242278
52;2020-05-08;1.07843738105954;2.28839151590682;0.236730156817947;14.1512027075617;1.34147088863503
52;2020-05-09;0.973223978029337;2.05166135908887;0.184123455302848;14.0985960060466;1.28886418711993
52;2020-05-10;0.868010574999138;2.13057141136152;0.184123455302848;14.2827194613495;1.28886418711993
52;2020-05-11;0.683887119696291;2.07796470984642;0.157820104545298;14.5983596704401;1.28886418711993
52;2020-05-12;0.552370365908543;2.23578481439172;0.131516753787748;14.1248993568042;1.31516753787748
52;2020-05-13;0.604977067423642;2.36730156817947;0.131516753787748;13.4673155878654;1.26256083636238
52;2020-05-14;0.604977067423642;2.28839151590682;0.157820104545298;12.9938552742295;1.13104408257464
52;2020-05-15;0.604977067423642;2.36730156817947;0.210426806060397;12.441484908321;1.13104408257464
52;2020-05-16;0.578673716666092;2.34099821742192;0.236730156817947;11.8102044901398;1.02583067954444
52;2020-05-17;0.73649382121139;2.13057141136152;0.236730156817947;11.8628111916549;1.05213403030199
52;2020-05-18;0.657583768938741;1.89384125454358;0.263033507575497;11.7839011393822;1.05213403030199
52;2020-05-19;0.710190470453841;1.70971779924073;0.210426806060397;11.3630475272615;1.02583067954444
52;2020-05-20;0.657583768938741;1.65711109772563;0.210426806060397;10.9421939151407;0.894313925756688
52;2020-05-21;0.631280418181192;1.60450439621053;0.184123455302848;10.2320034446868;0.73649382121139
52;2020-05-22;0.499763664393444;1.55189769469543;0.184123455302848;10.3109134969595;0.710190470453841
52;2020-05-23;0.578673716666092;1.68341444848318;0.184123455302848;10.2057000939293;0.683887119696291
52;2020-05-24;0.473460313635894;1.76232450075583;0.236730156817947;10.1793967431717;0.76279717196894
52;2020-05-25;0.473460313635894;1.78862785151338;0.210426806060397;10.2320034446868;0.73649382121139
52;2020-05-26;0.499763664393444;1.76232450075583;0.184123455302848;9.89005988483867;0.710190470453841
52;2020-05-27;0.420853612120794;1.78862785151338;0.210426806060397;9.49550962347542;0.657583768938741
52;2020-05-28;0.368246910605695;1.86753790378603;0.210426806060397;9.10095936211218;0.578673716666092
52;2020-05-29;0.420853612120794;1.89384125454358;0.184123455302848;9.17986941438483;0.578673716666092
52;2020-05-30;0.341943559848146;1.68341444848318;0.184123455302848;8.83792585453668;0.578673716666092
52;2020-05-31;0.289336858333046;1.52559434393788;0.131516753787748;8.68010574999139;0.604977067423642
52;2020-06-01;0.289336858333046;1.49929099318033;0.157820104545298;8.68010574999139;0.631280418181192
52;2020-06-02;0.236730156817947;1.34147088863503;0.157820104545298;8.68010574999139;0.604977067423642
52;2020-06-03;0.263033507575497;1.10474073181709;0.105213403030199;8.10143203332529;0.526067015150993
52;2020-06-04;0.289336858333046;1.07843738105954;0.157820104545298;7.49645496590165;0.552370365908543
52;2020-06-05;0.236730156817947;0.894313925756688;0.131516753787748;7.07560135378086;0.526067015150993
52;2020-06-06;0.184123455302848;0.946920627271787;0.157820104545298;6.47062428635722;0.473460313635894
52;2020-06-07;0.263033507575497;0.894313925756688;0.131516753787748;6.44432093559967;0.447156962878344
52;2020-06-08;0.236730156817947;0.815403873484039;0.105213403030199;6.36541088332702;0.447156962878344
52;2020-06-09;0.210426806060397;0.999527328786887;0.105213403030199;6.39171423408457;0.341943559848146
52;2020-06-10;0.157820104545298;1.13104408257464;0.131516753787748;6.15498407726662;0.341943559848146
52;2020-06-11;0.131516753787748;0.973223978029337;0.131516753787748;5.83934386817602;0.394550261363245
52;2020-06-12;0.105213403030199;1.05213403030199;0.184123455302848;5.65522041287318;0.394550261363245
52;2020-06-13;0.157820104545298;0.894313925756688;0.131516753787748;5.44479360681278;0.368246910605695
52;2020-06-14;0.078910052272649;0.894313925756688;0.131516753787748;5.33958020378258;0.368246910605695
52;2020-06-15;0.078910052272649;0.894313925756688;0.131516753787748;5.36588355454013;0.341943559848146
52;2020-06-16;0.078910052272649;0.657583768938741;0.157820104545298;5.23436680075238;0.315640209090596
52;2020-06-17;0.105213403030199;0.447156962878344;0.131516753787748;4.94502994241933;0.315640209090596
52;2020-06-18;0.105213403030199;0.420853612120794;0.078910052272649;4.76090648711649;0.236730156817947
52;2020-06-19;0.131516753787748;0.315640209090596;0.0263033507575497;4.44526627802589;0.184123455302848
52;2020-06-20;0.105213403030199;0.341943559848146;0.0263033507575497;4.23483947196549;0.131516753787748
52;2020-06-21;0.105213403030199;0.368246910605695;0.0263033507575497;4.23483947196549;0.131516753787748
52;2020-06-22;0.131516753787748;0.341943559848146;0.0526067015150993;4.23483947196549;0.157820104545298
52;2020-06-23;0.157820104545298;0.341943559848146;0.0263033507575497;4.0770193674202;0.157820104545298
52;2020-06-24;0.131516753787748;0.394550261363245;0.0263033507575497;3.97180596439;0.131516753787748
52;2020-06-25;0.131516753787748;0.368246910605695;0.0263033507575497;3.78768250908715;0.131516753787748
52;2020-06-26;0.105213403030199;0.368246910605695;0.0263033507575497;3.5509523522692;0.105213403030199
52;2020-06-27;0.078910052272649;0.368246910605695;0.0263033507575497;3.31422219545126;0.105213403030199
52;2020-06-28;0.078910052272649;0.368246910605695;0.0263033507575497;3.26161549393616;0.105213403030199
52;2020-06-29;0.0526067015150993;0.368246910605695;0;3.26161549393616;0.105213403030199
52;2020-06-30;0.0263033507575497;0.368246910605695;0;3.10379538939086;0.105213403030199
52;2020-07-01;0.0526067015150993;0.315640209090596;0;2.97227863560311;0.0526067015150993
52;2020-07-02;0.0263033507575497;0.315640209090596;0.0263033507575497;2.86706523257291;0.078910052272649
52;2020-07-03;0.0263033507575497;0.289336858333046;0.0263033507575497;2.65663842651252;0.078910052272649
52;2020-07-04;0.0526067015150993;0.315640209090596;0.0263033507575497;2.47251497120967;0.0526067015150993
52;2020-07-05;0.0526067015150993;0.341943559848146;0.0263033507575497;2.49881832196722;0.0526067015150993
52;2020-07-06;0.0526067015150993;0.420853612120794;0.0263033507575497;2.52512167272477;0.0526067015150993
52;2020-07-07;0.0526067015150993;0.394550261363245;0.0526067015150993;2.49881832196722;0.078910052272649
52;2020-07-08;0.078910052272649;0.368246910605695;0.078910052272649;2.39360491893702;0.105213403030199
52;2020-07-09;0.078910052272649;0.394550261363245;0.0526067015150993;2.26208816514927;0.105213403030199
52;2020-07-10;0.078910052272649;0.499763664393444;0.0526067015150993;2.23578481439172;0.105213403030199
52;2020-07-11;0.0526067015150993;0.473460313635894;0.078910052272649;2.13057141136152;0.105213403030199
52;2020-07-12;0.0526067015150993;0.552370365908543;0.078910052272649;2.23578481439172;0.105213403030199
52;2020-07-13;0.0526067015150993;0.552370365908543;0.105213403030199;2.31469486666437;0.131516753787748
52;2020-07-14;0.0526067015150993;0.578673716666092;0.078910052272649;2.36730156817947;0.131516753787748
52;2020-07-15;0;0.657583768938741;0.0526067015150993;2.41990826969457;0.131516753787748
52;2020-07-16;0;0.657583768938741;0.078910052272649;2.28839151590682;0.157820104545298
52;2020-07-17;0.0263033507575497;0.604977067423642;0.078910052272649;2.05166135908887;0.157820104545298
52;2020-07-18;0.0263033507575497;0.710190470453841;0.078910052272649;1.89384125454358;0.157820104545298
52;2020-07-19;0.0263033507575497;0.604977067423642;0.078910052272649;1.86753790378603;0.157820104545298
52;2020-07-20;0.0263033507575497;0.710190470453841;0.078910052272649;2.02535800833132;0.184123455302848
52;2020-07-21;0.0263033507575497;0.73649382121139;0.157820104545298;2.13057141136152;0.263033507575497
52;2020-07-22;0.0263033507575497;0.710190470453841;0.157820104545298;1.94644795605867;0.236730156817947
52;2020-07-23;0.0263033507575497;0.76279717196894;0.131516753787748;1.97275130681622;0.236730156817947
52;2020-07-24;0;0.815403873484039;0.157820104545298;1.99905465757377;0.210426806060397
52;2020-07-25;0;0.683887119696291;0.131516753787748;1.86753790378603;0.210426806060397
52;2020-07-26;0;0.631280418181192;0.131516753787748;1.73602114999828;0.131516753787748
52;2020-07-27;0;0.578673716666092;0.105213403030199;1.84123455302848;0.131516753787748
52;2020-07-28;0;0.657583768938741;0.0263033507575497;1.94644795605867;0.105213403030199
52;2020-07-29;0;0.894313925756688;0.0263033507575497;2.20948146363417;0.0526067015150993
52;2020-07-30;0.0263033507575497;0.946920627271787;0.0526067015150993;2.34099821742192;0.078910052272649
52;2020-07-31;0.0263033507575497;0.973223978029337;0.0526067015150993;2.28839151590682;0.105213403030199
52;2020-08-01;0.0263033507575497;1.13104408257464;0.157820104545298;2.41990826969457;0.210426806060397
52;2020-08-02;0.0526067015150993;1.18365078408973;0.184123455302848;2.41990826969457;0.236730156817947
52;2020-08-03;0.0526067015150993;1.15734743333218;0.184123455302848;2.49881832196722;0.236730156817947
52;2020-08-04;0.0526067015150993;1.31516753787748;0.184123455302848;2.57772837423987;0.236730156817947
52;2020-08-05;0.0526067015150993;1.20995413484728;0.236730156817947;2.63033507575497;0.263033507575497
52;2020-08-06;0.0263033507575497;1.28886418711993;0.263033507575497;2.76185182954271;0.315640209090596
52;2020-08-07;0.0263033507575497;1.42038094090768;0.263033507575497;2.91967193408801;0.341943559848146
52;2020-08-08;0.0526067015150993;1.31516753787748;0.157820104545298;2.94597528484556;0.341943559848146
52;2020-08-09;0.078910052272649;1.39407759015013;0.210426806060397;2.99858198636066;0.368246910605695
52;2020-08-10;0.078910052272649;1.39407759015013;0.263033507575497;3.05118868787576;0.394550261363245
52;2020-08-11;0.131516753787748;1.36777423939258;0.289336858333046;3.13009874014841;0.341943559848146
52;2020-08-12;0.157820104545298;1.34147088863503;0.263033507575497;2.91967193408801;0.289336858333046
52;2020-08-13;0.157820104545298;1.34147088863503;0.263033507575497;3.02488533711821;0.315640209090596
52;2020-08-14;0.157820104545298;1.28886418711993;0.236730156817947;3.02488533711821;0.289336858333046
52;2020-08-15;0.131516753787748;1.31516753787748;0.236730156817947;2.94597528484556;0.263033507575497
52;2020-08-16;0.105213403030199;1.28886418711993;0.210426806060397;3.02488533711821;0.289336858333046
52;2020-08-17;0.131516753787748;1.31516753787748;0.157820104545298;3.10379538939086;0.289336858333046
52;2020-08-18;0.131516753787748;1.20995413484728;0.157820104545298;3.15640209090596;0.289336858333046
52;2020-08-19;0.105213403030199;1.15734743333218;0.131516753787748;2.81445853105781;0.289336858333046
52;2020-08-20;0.105213403030199;1.07843738105954;0.078910052272649;2.84076188181536;0.236730156817947
52;2020-08-21;0.131516753787748;0.999527328786887;0.105213403030199;2.91967193408801;0.236730156817947
52;2020-08-22;0.131516753787748;1.02583067954444;0.131516753787748;2.76185182954271;0.236730156817947
52;2020-08-23;0.131516753787748;1.02583067954444;0.078910052272649;2.78815518030026;0.236730156817947
52;2020-08-24;0.105213403030199;1.18365078408973;0.131516753787748;3.05118868787576;0.263033507575497
52;2020-08-25;0.105213403030199;1.20995413484728;0.184123455302848;2.89336858333046;0.315640209090596
52;2020-08-26;0.105213403030199;1.28886418711993;0.184123455302848;2.68294177727007;0.236730156817947
52;2020-08-27;0.157820104545298;1.31516753787748;0.210426806060397;2.76185182954271;0.263033507575497
52;2020-08-28;0.131516753787748;1.26256083636238;0.184123455302848;2.73554847878516;0.184123455302848
52;2020-08-29;0.131516753787748;1.20995413484728;0.236730156817947;2.63033507575497;0.263033507575497
52;2020-08-30;0.105213403030199;1.23625748560483;0.236730156817947;2.68294177727007;0.236730156817947
52;2020-08-31;0.105213403030199;1.10474073181709;0.236730156817947;2.73554847878516;0.289336858333046
52;2020-09-01;0.078910052272649;0.946920627271787;0.210426806060397;2.63033507575497;0.341943559848146
52;2020-09-02;0.078910052272649;0.894313925756688;0.236730156817947;2.44621162045212;0.315640209090596
52;2020-09-03;0.078910052272649;0.946920627271787;0.210426806060397;2.63033507575497;0.315640209090596
52;2020-09-04;0.131516753787748;1.13104408257464;0.236730156817947;2.60403172499742;0.289336858333046
52;2020-09-05;0.131516753787748;1.23625748560483;0.263033507575497;2.65663842651252;0.394550261363245
52;2020-09-06;0.157820104545298;1.26256083636238;0.315640209090596;2.76185182954271;0.394550261363245
52;2020-09-07;0.157820104545298;1.34147088863503;0.263033507575497;2.91967193408801;0.394550261363245
52;2020-09-08;0.131516753787748;1.55189769469543;0.289336858333046;2.94597528484556;0.473460313635894
52;2020-09-09;0.131516753787748;1.76232450075583;0.289336858333046;3.18270544166351;0.473460313635894
52;2020-09-10;0.131516753787748;1.76232450075583;0.394550261363245;3.26161549393616;0.578673716666092
52;2020-09-11;0.078910052272649;1.70971779924073;0.394550261363245;3.31422219545126;0.526067015150993
52;2020-09-12;0.078910052272649;1.73602114999828;0.315640209090596;3.28791884469371;0.499763664393444
52;2020-09-13;0.0526067015150993;1.78862785151338;0.289336858333046;3.39313224772391;0.420853612120794
52;2020-09-14;0.078910052272649;1.76232450075583;0.341943559848146;3.57725570302675;0.473460313635894
52;2020-09-15;0.105213403030199;1.89384125454358;0.341943559848146;3.73507580757205;0.473460313635894
52;2020-09-16;0.157820104545298;1.86753790378603;0.368246910605695;3.7087724568145;0.473460313635894
52;2020-09-17;0.131516753787748;1.97275130681622;0.289336858333046;3.68246910605695;0.420853612120794
52;2020-09-18;0.131516753787748;2.07796470984642;0.289336858333046;3.73507580757205;0.420853612120794
52;2020-09-19;0.157820104545298;2.34099821742192;0.315640209090596;4.0244126659051;0.394550261363245
52;2020-09-20;0.157820104545298;2.41990826969457;0.473460313635894;4.15592941969285;0.552370365908543
52;2020-09-21;0.131516753787748;2.70924512802761;0.578673716666092;4.60308638257119;0.710190470453841
52;2020-09-22;0.131516753787748;2.78815518030026;0.657583768938741;4.91872659166179;0.815403873484039
52;2020-09-23;0.078910052272649;2.91967193408801;0.657583768938741;5.12915339772218;0.78910052272649
52;2020-09-24;0.078910052272649;3.02488533711821;0.710190470453841;5.36588355454013;0.76279717196894
52;2020-09-25;0.105213403030199;3.23531214317861;0.710190470453841;5.65522041287318;0.683887119696291
52;2020-09-26;0.105213403030199;3.07749203863331;0.683887119696291;5.47109695757033;0.604977067423642
52;2020-09-27;0.131516753787748;3.02488533711821;0.526067015150993;5.55000700984298;0.578673716666092
